CIDADE,ESTADO,QUANTIDADE_DE_INDICACOES,LAT,LON
CASIMIRO DE ABREU,RIO DE JANEIRO      ,1,-22.4756154,-42.1522235
CASSIA,MINAS GERAIS        ,2,-20.5837538,-46.9219923
CASSIA DOS COQUEIROS,SAO PAULO           ,2,-21.280082,-47.164327
CASTELO,ESPIRITO SANTO      ,9,-20.6022098,-41.2032124
CASTILHO,SAO PAULO           ,4,-20.8695636,-51.4877792
CASTRO,PARANA,6,-24.794072,-49.9972914
CATAGUASES,MINAS GERAIS        ,11,-21.387426,-42.6957219
CATALAO,GOIAS               ,6,-18.1702546,-47.9447082
CATANDUVA,SAO PAULO           ,3,-21.1331035,-48.9712817
CATANDUVAS,SANTA CATARINA,3,-27.0689719,-51.660158
CATURAI,GOIAS               ,1,-16.4473559,-49.4919149
CAUCAIA,CEARA               ,7,-3.7300563,-38.6593082
CAXAMBU,MINAS GERAIS        ,4,-21.9755872,-44.9311403
CAXIAS,MARANHAO            ,2,-4.8654201,-43.353664
CAXIAS DO SUL,RIO GRANDE DO SUL,7,-29.1685045,-51.1796385
CEDRAL,SAO PAULO           ,1,-20.9028433,-49.2699665
CEDRO,CEARA               ,1,-6.6065382,-39.0599487
CELSO RAMOS,SANTA CATARINA,1,-27.6335797,-51.3368111
CERES,GOIAS               ,1,-15.3103568,-49.6032054
CERQUEIRA CESAR,SAO PAULO           ,2,-23.0353135,-49.1650519
CERQUILHO,SAO PAULO           ,7,-23.1626556,-47.7433878
CERRO AZUL,PARANA,3,-24.8245108,-49.2615181
CHA GRANDE,PERNAMBUCO          ,1,-8.238271,-35.457148
CHAPADA DOS GUIMARAES,MATO GROSSO         ,1,-15.464343,-55.749857
CHAPECO,SANTA CATARINA,10,-27.0922364,-52.6166878
CHARQUEADA,SAO PAULO           ,70,-22.50958,-47.775468
CHAVANTES,SAO PAULO           ,2,-23.0406405,-49.7071698
CHOPINZINHO,PARANA,1,-25.8566167,-52.5294107
CIANORTE,PARANA,2,-23.662036,-52.6103989
CICERO DANTAS,BAHIA               ,1,-10.5942278,-38.3839063
CIDADE GAUCHA,PARANA,1,-23.3816558,-52.9444098
CIDADE OCIDENTAL,GOIAS               ,3,-16.1000758,-47.9445014
CIDELANDIA,MARANHAO            ,4,-5.174655,-47.7833531
CIDREIRA,RIO GRANDE DO SUL,1,-30.1657063,-50.218331
CIPOTANEA,MINAS GERAIS        ,3,-20.905278,-43.365556
CLARAVAL,MINAS GERAIS        ,1,-20.4019611,-47.2851534
CLAUDIO,MINAS GERAIS        ,5,-20.4448485,-44.7655217
CLEVELANDIA,PARANA,2,-26.404065,-52.3513972
COARACI,BAHIA               ,1,-14.6407979,-39.5496765
COARI,AMAZONAS            ,1,-4.0885957,-63.1431166
COCAL DO SUL,SANTA CATARINA,1,-28.6007346,-49.3248697
COCOS,BAHIA               ,3,-14.1811222,-44.5382117
CODO,MARANHAO            ,3,-4.455623,-43.892354
COLATINA,ESPIRITO SANTO      ,10,-19.5346732,-40.6287836
COLOMBIA,SAO PAULO           ,1,-20.1774291,-48.6872822
COLOMBO,PARANA,27,-25.2925439,-49.2243472
COLORADO,PARANA,9,-22.8385097,-51.9730135
CONCEICAO DA APARECIDA,MINAS GERAIS        ,2,-21.094166,-46.204444
CONCEICAO DA BARRA,ESPIRITO SANTO      ,2,-18.5841421,-39.7371844
CONCEICAO DA FEIRA,BAHIA               ,1,-12.5013001,-39.0002166
CONCEICAO DAS ALAGOAS,MINAS GERAIS        ,2,-19.9194009,-48.3803414
CONCEICAO DO JACUIPE,BAHIA               ,1,-12.326831,-38.768433
CONCEICAO DO MATO DENTRO,MINAS GERAIS        ,2,-19.037222,-43.425278
CONCEICAO DO PARA,MINAS GERAIS        ,1,-19.752222,-44.896944
CONCHAL,SAO PAULO           ,8,-22.337512,-47.172927
CONCHAS,SAO PAULO           ,2,-23.0133538,-48.0077595
CONCORDIA,SANTA CATARINA,3,-27.2312011,-52.0231024
CONFINS,MINAS GERAIS        ,2,-19.6278749,-43.9912311
CONFRESA,MATO GROSSO         ,1,-10.643695,-51.569873
CONGO,PARAIBA             ,2,-7.7957602,-36.6602133
CONGONHAL,MINAS GERAIS        ,3,-22.1532505,-46.0404698
CONGONHAS,MINAS GERAIS        ,20,-20.5015168,-43.8564586
CONGONHAS DO NORTE,MINAS GERAIS        ,6,-18.8100392,-43.6783242
CONGONHINHAS,PARANA,2,-23.5497241,-50.5520182
CONQUISTA,MINAS GERAIS        ,3,-19.936944,-47.543055
CONSELHEIRO LAFAIETE,MINAS GERAIS        ,59,-20.6596107,-43.785743
CONTAGEM,MINAS GERAIS        ,76,-19.9132749,-44.0840953
CONTENDAS DO SINCORA,BAHIA               ,1,-13.7612283,-41.0421315
COQUEIRAL,MINAS GERAIS        ,5,-21.1898365,-45.4409829
CORACAO DE JESUS,MINAS GERAIS        ,1,-16.6888187,-44.3577401
CORACAO DE MARIA,BAHIA               ,2,-12.2484345,-38.7499274
CORBELIA,PARANA,3,-24.7951117,-53.2961804
CORDEIROPOLIS,SAO PAULO           ,3,-22.4768324,-47.4550551
CORDISBURGO,MINAS GERAIS        ,5,-19.125834,-44.320278
CORIBE,BAHIA               ,1,-13.828471,-44.45727
CORINTO,MINAS GERAIS        ,1,-18.363056,-44.456111
CORNELIO PROCOPIO,PARANA,8,-23.1825218,-50.6499263
COROACI,MINAS GERAIS        ,5,-18.6194369,-42.2830239
COROMANDEL,MINAS GERAIS        ,2,-18.473889,-47.200278
CORONEL FABRICIANO,MINAS GERAIS        ,5,-19.5200067,-42.6282686
CORONEL FREITAS,SANTA CATARINA,3,-26.9058932,-52.7028055
CORONEL PACHECO,MINAS GERAIS        ,1,-21.5878865,-43.2615975
CORONEL VIVIDA,PARANA,1,-25.9803771,-52.5654277
CORONEL XAVIER CHAVES,MINAS GERAIS        ,1,-21.0234482,-44.2233108
CORREGO FUNDO,MINAS GERAIS        ,8,-20.4490405,-45.5558238
CORRENTINA,BAHIA               ,2,-13.344157,-44.6345066
CORUMBA,MATO GROSSO DO SUL  ,1,-19.0006027,-57.6507535
CORURIPE,ALAGOAS             ,5,-10.1249963,-36.1760623
COSTA MARQUES,RONDONIA            ,1,-12.4367165,-64.2279765
COTIA,SAO PAULO           ,27,-23.603889,-46.918889
COTIPORA,RIO GRANDE DO SUL,1,-28.9950719,-51.696359
CRAIBAS,ALAGOAS             ,5,-9.6167979,-36.7684602
CRATO,CEARA               ,1,-7.2369112,-39.4149236
CRAVINHOS,SAO PAULO           ,6,-21.340278,-47.729444
CRICIUMA,SANTA CATARINA,1,-28.6789941,-49.3695627
CRISOPOLIS,BAHIA               ,1,-11.5105813,-38.1506278
CRISTAIS,MINAS GERAIS        ,4,-20.875834,-45.518611
CRISTAIS PAULISTA,SAO PAULO           ,1,-20.403569,-47.420915
CRISTALINA,GOIAS               ,6,-16.7680599,-47.6133427
CRISTINA,MINAS GERAIS        ,4,-22.212222,-45.264167
CRUCILANDIA,MINAS GERAIS        ,17,-20.3985647,-44.3429275
CRUZ,CEARA               ,1,-2.918128,-40.175981
CRUZ ALTA,RIO GRANDE DO SUL,4,-28.645056,-53.6058047
CRUZ DO ESPIRITO SANTO,PARAIBA             ,1,-7.139022,-35.085721
CRUZEIRO,SAO PAULO           ,18,-22.5783685,-44.9642044
CRUZEIRO DA FORTALEZA,MINAS GERAIS        ,1,-18.9461873,-46.6738005
CRUZEIRO DO IGUACU,PARANA,1,-25.6142278,-53.1299075
CRUZEIRO DO OESTE,PARANA,4,-23.7839582,-53.0709425
CRUZILIA,MINAS GERAIS        ,5,-21.838333,-44.808056
CUBATAO,SAO PAULO           ,9,-23.8857982,-46.4241869
CUBATI,PARAIBA             ,3,-6.8647974,-36.3525993
CUIABA,MATO GROSSO         ,47,-15.5986686,-56.0991301
CUMBE,SERGIPE             ,3,-10.3546844,-37.18174
CUNHA,SAO PAULO           ,2,-23.07753,-44.9567436
CUNHA PORA,SANTA CATARINA,2,-26.8927163,-53.1716516
CURITIBA,PARANA,154,-25.4944375,-49.284271
CURITIBANOS,SANTA CATARINA,1,-27.2900659,-50.5779683
CURIUVA,PARANA,1,-24.0383013,-50.455484
CURRAIS NOVOS,RIO GRANDE DO NORTE ,8,-6.2626676,-36.5173039
CURRAL DE DENTRO,MINAS GERAIS        ,2,-15.9378229,-41.8545118
CURVELO,MINAS GERAIS        ,16,-18.7571926,-44.4305993
CUSTODIA,PERNAMBUCO          ,3,-8.0860251,-37.6400307
DAMIANOPOLIS,GOIAS               ,1,-14.5603809,-46.1780241
DATAS,MINAS GERAIS        ,1,-18.4459187,-43.6584287
DELFIM MOREIRA,MINAS GERAIS        ,4,-22.5086783,-45.2792398
DELFINOPOLIS,MINAS GERAIS        ,1,-20.344749,-46.8546425
DELMIRO GOUVEIA,ALAGOAS             ,2,-9.3841161,-37.997756
DEODAPOLIS,MATO GROSSO DO SUL  ,1,-22.276272,-54.168163
DESCALVADO,SAO PAULO           ,3,-21.9090404,-47.6203241
DESTERRO,PARAIBA             ,8,-7.2889695,-37.0880761
DESTERRO DE ENTRE RIOS,MINAS GERAIS        ,3,-20.66,-44.332223
DESTERRO DO MELO,MINAS GERAIS        ,4,-21.1460033,-43.518329
DIADEMA,SAO PAULO           ,25,-23.6866428,-46.6246935
DIAMANTE,PARAIBA             ,1,-7.4261827,-38.2646879
DIAMANTINA,MINAS GERAIS        ,7,-18.2440862,-43.6006487
DIAMANTINO,MATO GROSSO         ,3,-14.4036262,-56.4364488
DIONISIO,MINAS GERAIS        ,4,-19.841944,-42.776945
DIONISIO CERQUEIRA,SANTA CATARINA,1,-26.2604681,-53.6346379
DIVINESIA,MINAS GERAIS        ,1,-20.990277,-43.003889
DIVINO,MINAS GERAIS        ,12,-20.6151497,-42.1474733
DIVINO DE SAO LOURENCO,ESPIRITO SANTO      ,1,-20.6224575,-41.6853124
DIVINOLANDIA,SAO PAULO           ,1,-21.6604584,-46.7371151
DIVINOLANDIA DE MINAS,MINAS GERAIS        ,4,-18.8021453,-42.6153788
DIVINOPOLIS,MINAS GERAIS        ,37,-20.1597921,-44.8739341
DIVISA NOVA,MINAS GERAIS        ,2,-21.5126801,-46.1926626
DOIS CORREGOS,SAO PAULO           ,2,-22.3697554,-48.3845315
DOIS IRMAOS,RIO GRANDE DO SUL,2,-29.58356,-51.089776
DOIS RIACHOS,ALAGOAS             ,3,-9.384645,-37.096502
DOIS VIZINHOS,PARANA,3,-25.7464681,-53.0554369
DOM BASILIO,BAHIA               ,2,-13.7589818,-41.7715676
DOM CAVATI,MINAS GERAIS        ,1,-19.3744152,-42.1067301
DOM SILVERIO,MINAS GERAIS        ,1,-20.1631352,-42.9666824
DOMINGOS MARTINS,ESPIRITO SANTO      ,5,-20.3646483,-40.6585797
DORES DE CAMPOS,MINAS GERAIS        ,1,-21.107222,-44.0225
DORES DO INDAIA,MINAS GERAIS        ,1,-19.4636451,-45.60166
DORES DO RIO PRETO,ESPIRITO SANTO      ,1,-20.6907113,-41.846385
DOURADINA,MATO GROSSO DO SUL  ,4,-22.0402812,-54.6118292
DOURADOS,MATO GROSSO DO SUL  ,7,-22.2206145,-54.812208
DOVERLANDIA,GOIAS               ,1,-16.7210996,-52.3138104
DRACENA,SAO PAULO           ,3,-21.4835523,-51.5334408
DUMONT,SAO PAULO           ,2,-21.2391417,-47.9747665
DUQUE DE CAXIAS,RIO DE JANEIRO      ,21,-22.7896225,-43.309929
DURANDE,MINAS GERAIS        ,2,-20.2026282,-41.798777
ECHAPORA,SAO PAULO           ,1,-22.4325855,-50.2037693
ECOPORANGA,ESPIRITO SANTO      ,8,-18.3720918,-40.8321351
ELDORADO,MATO GROSSO DO SUL  ,1,-23.7838809,-54.2832024
ELDORADO,SAO PAULO           ,1,-24.522583,-48.1093489
ELDORADO DO CARAJAS,PARA                ,1,-6.1029246,-49.3572487
ELDORADO DO SUL,RIO GRANDE DO SUL,1,-29.9976311,-51.3063965
ELISIARIO,SAO PAULO           ,5,-21.1673392,-49.1111015
ELOI MENDES,MINAS GERAIS        ,3,-21.6094466,-45.5660211
EMBU DAS ARTES,SAO PAULO           ,26,-23.6495294,-46.8528497
EMBU-GUACU,SAO PAULO           ,7,-23.8317997,-46.8156204
ENEAS MARQUES,PARANA,5,-25.9435584,-53.1637539
ENTRE FOLHAS,MINAS GERAIS        ,1,-19.6258823,-42.2328975
ENTRE RIOS DE MINAS,MINAS GERAIS        ,2,-20.670834,-44.065556
ERVALIA,MINAS GERAIS        ,3,-20.8377232,-42.6559789
ESCADA,PERNAMBUCO          ,1,-8.3623847,-35.2366232
ESMERALDAS,MINAS GERAIS        ,2,-19.7613111,-44.3145945
ESPERA FELIZ,MINAS GERAIS        ,3,-20.6494192,-41.9080693
ESPERANCA,PARAIBA             ,1,-7.018517,-35.852193
ESPIRITO SANTO DO PINHAL,SAO PAULO           ,8,-22.1929522,-46.7470021
ESPLANADA,BAHIA               ,5,-11.800614,-37.9453
ESTANCIA VELHA,RIO GRANDE DO SUL,1,-29.6529666,-51.1719687
ESTEIO,RIO GRANDE DO SUL,6,-29.8511627,-51.1778852
ESTIVA,MINAS GERAIS        ,5,-22.4638686,-46.0182101
ESTIVA GERBI,SAO PAULO           ,2,-22.2742719,-46.9523302
ESTRELA DALVA,MINAS GERAIS        ,1,-21.741666,-42.460833
ESTRELA DE ALAGOAS,ALAGOAS             ,2,-9.3888972,-36.7616833
ESTRELA VELHA,RIO GRANDE DO SUL,1,-29.1775802,-53.1597523
EUNAPOLIS,BAHIA               ,1,-16.3766148,-39.586449
EWBANK DA CAMARA,MINAS GERAIS        ,1,-21.551389,-43.509722
EXTREMA,MINAS GERAIS        ,3,-22.8548355,-46.3184553
EXU,PERNAMBUCO          ,6,-7.515434,-39.722015
FARROUPILHA,RIO GRANDE DO SUL,2,-29.22647,-51.3468188
FAXINAL,PARANA,1,-24.001212,-51.3222727
FAXINAL DO SOTURNO,RIO GRANDE DO SUL,1,-29.5771687,-53.445804
FAZENDA NOVA,GOIAS               ,5,-16.185602,-50.7795674
FAZENDA RIO GRANDE,PARANA,15,-25.645841,-49.3126653
FEIRA DE SANTANA,BAHIA               ,2,-12.2578934,-38.9598047
FELICIO DOS SANTOS,MINAS GERAIS        ,1,-18.0765035,-43.2471128
FELIXLANDIA,MINAS GERAIS        ,4,-18.7573983,-44.8991465
FERNANDES TOURINHO,MINAS GERAIS        ,1,-19.152778,-42.083056
FERNANDOPOLIS,SAO PAULO           ,1,-20.2825647,-50.2500762
FERRAZ DE VASCONCELOS,SAO PAULO           ,19,-23.541056,-46.37097
FERROS,MINAS GERAIS        ,4,-19.234984,-43.019542
FERVEDOURO,MINAS GERAIS        ,4,-20.7295764,-42.2792737
FIGUEIRA,PARANA,4,-23.8481018,-50.4059875
FIRMINOPOLIS,GOIAS               ,1,-16.5753264,-50.3011286
FLOREAL,SAO PAULO           ,1,-20.6767063,-50.1455638
FLORESTAL,MINAS GERAIS        ,1,-19.8878705,-44.4314766
FLORIANO,PIAUI               ,1,-6.7675739,-43.022261
FLORIANOPOLIS,SANTA CATARINA,20,-27.5973002,-48.5496098
FLORIDA PAULISTA,SAO PAULO           ,2,-21.614061,-51.1729548
FORMIGA,MINAS GERAIS        ,19,-20.4648425,-45.4266753
FORTALEZA,CEARA               ,71,-3.7304512,-38.5217989
FORTALEZA DE MINAS,MINAS GERAIS        ,2,-20.849166,-46.712222
FOZ DO IGUACU,PARANA,6,-25.5304023,-54.5830692
FRAIBURGO,SANTA CATARINA,3,-27.023288,-50.919978
FRANCA,SAO PAULO           ,59,-20.5381768,-47.4009795
FRANCISCO BADARO,MINAS GERAIS        ,1,-16.9917524,-42.350899
FRANCISCO BELTRAO,PARANA,10,-26.0790979,-53.0533527
FRANCISCO DUMONT,MINAS GERAIS        ,1,-17.3117541,-44.2322232
FRANCISCO MORATO,SAO PAULO           ,5,-23.2817308,-46.7448996
FRANCISCO SA,MINAS GERAIS        ,3,-16.4777211,-43.4942587
FRANCO DA ROCHA,SAO PAULO           ,6,-23.3328038,-46.724446
FREDERICO WESTPHALEN,RIO GRANDE DO SUL,7,-27.35711,-53.3964117
FRUTAL,MINAS GERAIS        ,10,-20.0220064,-48.9280076
FUNDAO,ESPIRITO SANTO      ,1,-19.9532531,-40.3779176
FUNILANDIA,MINAS GERAIS        ,1,-19.3711961,-44.0599481
GALIA,SAO PAULO           ,3,-22.2936976,-49.5516228
GALVAO,SANTA CATARINA,1,-26.4553595,-52.6869755
GARANHUNS,PERNAMBUCO          ,2,-8.8905889,-36.4930896
GARCA,SAO PAULO           ,4,-22.2125766,-49.6547994
GARIBALDI,RIO GRANDE DO SUL,3,-29.2562253,-51.5269167
GASPAR,SANTA CATARINA,5,-26.9307306,-48.9566824
GETULINA,SAO PAULO           ,3,-21.7988557,-49.9288096
GETULIO VARGAS,RIO GRANDE DO SUL,1,-27.8871493,-52.2257967
GIRAU DO PONCIANO,ALAGOAS             ,4,-9.884041,-36.831592
GLORIA DE DOURADOS,MATO GROSSO DO SUL  ,2,-22.4173731,-54.2313391
GLORIA DO GOITA,PERNAMBUCO          ,2,-7.999959,-35.2866116
GOIANDIRA,GOIAS               ,3,-18.1355157,-48.087163
GOIANIA,GOIAS               ,53,-16.680882,-49.2532691
GOIATUBA,GOIAS               ,1,-18.0154577,-49.3640591
GOIOERE,PARANA,1,-24.1851885,-53.0250623
GOIOXIM,PARANA,1,-25.1987274,-51.9924229
GOUVEIA,MINAS GERAIS        ,2,-18.4545728,-43.7415904
GOVERNADOR CELSO RAMOS,SANTA CATARINA,2,-27.317161,-48.557608
GOVERNADOR LINDENBERG,ESPIRITO SANTO      ,4,-19.250788,-40.4630612
GOVERNADOR VALADARES,MINAS GERAIS        ,15,-18.8574388,-41.9439184
GRACCHO CARDOSO,SERGIPE             ,1,-10.2288836,-37.1966376
GRAMADO,RIO GRANDE DO SUL,1,-29.3792858,-50.8737019
GRANJA,CEARA               ,3,-3.1212057,-40.8284124
GRAO MOGOL,MINAS GERAIS        ,3,-16.5634214,-42.8929185
GRAVATA,PERNAMBUCO          ,3,-8.1990607,-35.562989
GRAVATAI,RIO GRANDE DO SUL,7,-29.9440222,-50.9930938
GUABIRUBA,SANTA CATARINA,4,-27.0864326,-48.9781319
GUACUI,ESPIRITO SANTO      ,2,-20.7718645,-41.6754813
GUAIBA,RIO GRANDE DO SUL,3,-30.1130731,-51.329442
GUAICARA,SAO PAULO           ,1,-21.6213012,-49.7962941
GUAJARA,AMAZONAS            ,1,-7.5455927,-72.5832769
GUAJERU,BAHIA               ,3,-14.5464079,-41.9379047
GUANAMBI,BAHIA               ,3,-14.223066,-42.779943
GUANHAES,MINAS GERAIS        ,1,-18.7753627,-42.9340634
GUAPE,MINAS GERAIS        ,2,-20.7619937,-45.9176017
GUAPIARA,SAO PAULO           ,8,-24.18921,-48.529549
GUAPORE,RIO GRANDE DO SUL,1,-28.8471928,-51.8907881
GUARACI,SAO PAULO           ,1,-20.4976771,-48.9452074
GUARACIABA,MINAS GERAIS        ,8,-20.5718037,-43.0057078
GUARANESIA,MINAS GERAIS        ,2,-21.3024827,-46.7956962
GUARANIACU,PARANA,1,-25.10035,-52.867811
GUARAPARI,ESPIRITO SANTO      ,7,-20.6718755,-40.4984617
GUARAPUAVA,PARANA,5,-25.3950986,-51.4622016
GUARARAPES,SAO PAULO           ,3,-21.2542739,-50.6440083
GUARAREMA,SAO PAULO           ,5,-23.4136776,-46.0383744
GUARATINGUETA,SAO PAULO           ,19,-22.8057839,-45.1908926
GUARATUBA,PARANA,6,-25.8806192,-48.5750905
GUARIBA,SAO PAULO           ,4,-21.35938,-48.23158
GUARUJA,SAO PAULO           ,15,-23.9927768,-46.2558332
GUARULHOS,SAO PAULO           ,91,-23.4675941,-46.5277704
GUATAMBU,SANTA CATARINA,11,-27.1123166,-52.7808261
GUAXUPE,MINAS GERAIS        ,6,-21.3087615,-46.7190609
GUIDOVAL,MINAS GERAIS        ,2,-21.1514477,-42.7997151
GUIMARANIA,MINAS GERAIS        ,3,-18.8442251,-46.7925141
GURUPI,TOCANTINS           ,7,-11.72794,-49.068046
HERVAL DOESTE,SANTA CATARINA,1,-26.9261196,-49.1224761
HORIZONTE,CEARA               ,3,-4.0964618,-38.4965574
HORTOLANDIA,SAO PAULO           ,9,-22.8620175,-47.2164219
HUMAITA,RIO GRANDE DO SUL,3,-27.5660564,-53.9719817
IACANGA,SAO PAULO           ,18,-21.8928341,-49.0226082
IARAS,SAO PAULO           ,1,-22.8742567,-49.1593923
IBAITI,PARANA,1,-23.8452962,-50.1905666
IBATE,SAO PAULO           ,1,-21.9562015,-48.0007848
IBERTIOGA,MINAS GERAIS        ,7,-21.431111,-43.966111
IBIA,MINAS GERAIS        ,4,-19.4771843,-46.5386956
IBIAI,MINAS GERAIS        ,1,-16.861111,-44.913889
IBICARAI,BAHIA               ,1,-14.8625311,-39.5890865
IBIMIRIM,PERNAMBUCO          ,3,-8.5379259,-37.6941375
IBIPITANGA,BAHIA               ,3,-12.880435,-42.485568
IBIPORA,PARANA,8,-23.2684137,-51.0475907
IBIRA,SAO PAULO           ,1,-21.0815104,-49.2424619
IBIRACI,MINAS GERAIS        ,2,-20.461944,-47.122223
IBIRACU,ESPIRITO SANTO      ,4,-19.8309496,-40.3686594
IBIRAIARAS,RIO GRANDE DO SUL,1,-28.3705672,-51.6366969
IBIRAJUBA,PERNAMBUCO          ,1,-8.5795521,-36.178045
IBIRAREMA,SAO PAULO           ,1,-22.8131812,-50.0720477
IBIRITE,MINAS GERAIS        ,18,-20.0214251,-44.0621506
IBIRUBA,RIO GRANDE DO SUL,4,-28.630161,-53.096124
IBITINGA,SAO PAULO           ,1,-21.75623,-48.831903
IBITIRAMA,ESPIRITO SANTO      ,1,-20.5394377,-41.6644451
IBITIURA DE MINAS,MINAS GERAIS        ,2,-22.060833,-46.439722
IBIUNA,SAO PAULO           ,6,-23.6544825,-47.220856
ICONHA,ESPIRITO SANTO      ,60,-20.7935003,-40.8108852
IEPE,SAO PAULO           ,1,-22.660165,-51.077881
IGACI,ALAGOAS             ,1,-9.537678,-36.637191
IGARACU DO TIETE,SAO PAULO           ,3,-22.5165369,-48.5582558
IGARAPAVA,SAO PAULO           ,5,-20.0411748,-47.7476682
IGARAPE,MINAS GERAIS        ,3,-20.068789,-44.3017439
IGARASSU,PERNAMBUCO          ,1,-7.8354423,-34.9061125
IGARATA,SAO PAULO           ,1,-23.2063475,-46.156934
IGUABA GRANDE,RIO DE JANEIRO      ,3,-22.8388498,-42.2286746
IGUAPE,SAO PAULO           ,2,-24.7042692,-47.5563733
IGUARACU,PARANA,5,-23.1972911,-51.8244524
IGUARACY,PERNAMBUCO          ,1,-7.8363415,-37.5140407
IGUATU,CEARA               ,1,-6.361934,-39.2972233
IJACI,MINAS GERAIS        ,3,-21.1700929,-44.9280621
IJUI,RIO GRANDE DO SUL,1,-28.3878734,-53.9201692
ILHA COMPRIDA,SAO PAULO           ,2,-24.7445292,-47.5525529
ILHA SOLTEIRA,SAO PAULO           ,4,-20.4281001,-51.3410871
ILHEUS,BAHIA               ,2,-14.792599,-39.0453843
ILHOTA,SANTA CATARINA,2,-26.9022824,-48.8284968
ILICINEA,MINAS GERAIS        ,3,-20.9390196,-45.8263558
IMBAU,PARANA,2,-24.447597,-50.7557188
IMBE,RIO GRANDE DO SUL,3,-29.975269,-50.128068
IMBITUVA,PARANA,3,-25.2293338,-50.6051002
INACIO MARTINS,PARANA,1,-25.5725435,-51.0764637
INCONFIDENTES,MINAS GERAIS        ,6,-22.3168866,-46.3279182
INDAIABIRA,MINAS GERAIS        ,1,-15.4921781,-42.1971235
INDAIAL,SANTA CATARINA,6,-26.8901747,-49.2416736
INDAIATUBA,SAO PAULO           ,15,-23.0908356,-47.2180677
INDIARA,GOIAS               ,2,-17.1387389,-49.9861621
INGA,PARAIBA             ,1,-7.2904513,-35.6109945
INGAI,MINAS GERAIS        ,2,-21.400833,-44.917223
INHAMBUPE,BAHIA               ,5,-11.7921718,-38.3596957
INHAPIM,MINAS GERAIS        ,2,-19.5501834,-42.1209879
